place_en,place_th,place_category_en,place_address_en,place_address_th,place_phone_number,place_website_url,place_image,lat_lng,place_code
Salaya Dog Shelter,บ้านรักหมา ศาลายา,Building,"Salaya Dog Shelter, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",บ้านรักหมา ศาลายา เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(099) 330-2424,https://www.facebook.com/salayadogshelter/,https://lh5.googleusercontent.com/p/AF1QipPYFmRj67w6qxlZUR3XqLuDug477HtcolJn6OL4=s1920,"13.79131,100.31661",DS
Training Building,อาคารฝึกอบรม,Building,"Training Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารฝึกอบรม มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,,"13.79131,100.32625",TB
ASEAN Institute for Health Development,สถาบันพัฒนาสุขภาพอาเซียน,Building,"ASEAN Institute for Health Development, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันพัฒนาสุขภาพอาเซียน มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 9040,https://aihd.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipNGA4uke-6UlnHQN7djzXO33pZE2ChvSFbLQWM1=s1920,"13.791087372645228, 100.32568522824842",AHD
College of Music / Pre College Boarding School,โรงเรียนเตรียมอุดมดนตรี วิทยาลัยดุริยางคศิลป์,Building,"College of Music, Mahidol University Salaya Campus
25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",โรงเรียนเตรียมอุดมดนตรี วิทยาลัยดุริยางคศิลป์ 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,02 441 5304,https://www.music.mahidol.ac.th/yamp/,https://lh5.googleusercontent.com/p/AF1QipPJDBuAOLxd5mAJjGbG7oezctswnZKj2sfoD9a5=s1920,"13.79021140787506, 100.3251176327714",PMS
ASEAN House,อาเซียนเฮ้าส์,Residence,"ASEAN House, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาเซียนเฮ้าส์ เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 0162,https://www.facebook.com/aseanhouse1984/,https://lh5.googleusercontent.com/p/AF1QipN6mx0l8VjzI67qBgYCCAZdKqiDn6G5iaPYs09T=s1920,"13.790759493203227, 100.32565343416388",AH
Natth Bhamarapravati Auditorium,หอประชุมณัฐ ภมรประวัติ,Building,"ASEAN Institute for Health Development, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันพัฒนาสุขภาพอาเซียน มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 9040,https://aihd.mahidol.ac.th/main/AIHD_TH/Room_mainhall.php,https://aihd.mahidol.ac.th/main/AIHD_TH/img/3mainhall/DSC_6346.jpg,"13.79155,100.32505",NAHD
Thai House,เรือนไทย,Building,"Research Institute for Languages and Cultures of Asia, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันวิจัยภาษาและวัฒนธรรมเอเชีย มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 849 6000,https://mahidol.ac.th/th/mahidol-thai-house-2/,https://lh5.googleusercontent.com/p/AF1QipPpaSwQeWSTjnntxkFaagIzR6ChCKlprCkiL-3d=s1920,"13.790740885217675, 100.32434646960887",TH
Research Institute for Languages and Cultures of Asia (RILCA),สถาบันวิจัยภาษาและวัฒนธรรมเอเชีย,Building,"Research Institute for Languages and Cultures of Asia, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันวิจัยภาษาและวัฒนธรรมเอเชีย มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 800 2308,https://lc.mahidol.ac.th/,https://lh6.googleusercontent.com/0Dg02U3OOu5V8HF8n8RlUPg2WdWEqc_wF9NKr9EzPGmWy5pkgxa8_Ggnv1809nbX=s1920,"13.79078566054231, 100.323193097563",RLC
Institute for Innovative Learning,สถาบันนวัตกรรมการเรียนรู้,Building,"Institute for Innovative Learning, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันนวัตกรรมการเรียนรู้ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 9729,https://il.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipMsfV4ihWnPH61fZBRVQU_XBBK1xpyMp8O_GEhJ=s1920,"13.791650137596335, 100.3240445296151",INL
Southeast Asia Music Museum,พิพิธภัณฑ์ดนตรีอุษาคเนย์,Building,"Southeast Asia Music Museum, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",พิพิธภัณฑ์ดนตรีอุษาคเนย์ มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,02 800 2525,https://www.music.mahidol.ac.th,https://lh5.googleusercontent.com/p/AF1QipNNVRONHKOS-fraFW7XAvW02y5dsXbTHi9X76c2=s1920,"13.790498851435778, 100.32322575066571",SEAM
The Artist Residency,เรือนศิลปิน,Residence,"College of Music, Mahidol University Salaya Campus
25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",วิทยาลัยดุริยางคศิลป์ มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,(081) 401-4061,,https://lh5.googleusercontent.com/p/AF1QipOqdxCteQvrZrtsc2M_ew0hrKTaGVi2X92334J2=s1920,"13.789807679651833, 100.32295310479537",AR
Musica Arboretum,สวนพฤกษาดุริยางค์,Park,,,02 800 2525,https://museum.li.mahidol.ac.th/en/museums/?p=s1920,https://lh5.googleusercontent.com/p/AF1QipNOvtLe_8ZWfVve3SHODByfY_1jZaUQjg7WEMiZ=s1920,"13.78928,100.32305",MSMA
Tamtawan Coffee,ตามตะวัน คอฟฟี่,Cafe,,,(086) 797-7151,,https://lh5.googleusercontent.com/p/AF1QipMIhMCjlv_Xqq10BRed_131r5m3L3OHjaZJLbc0=s1920,"13.792932609446638, 100.32057546667127",
Bann Leelawadee (Dorm 10),บ้านลีลาวดี (หอ 10),Residence,"Bann Leelawadee (Dorm 10), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",บ้านลีลาวดี (หอ 10) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(066) 104-5599,https://www.facebook.com/mahidoldorm,https://lh5.googleusercontent.com/p/AF1QipMzCV5FsMpzob22lTZnQSY1BNkUFpqY9oVzHrCh=s1920,"13.794459939067401, 100.3204418970634",D10
Bann Sri Trang (Dorm 11),บ้านศรีตรัง (หอ 11),Residence,"Bann Sri Trang (Dorm 11), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",บ้านศรีตรัง (หอ 11) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(066) 104-5599,https://www.facebook.com/mahidoldorm,https://lh3.googleusercontent.com/p/AF1QipMXEnRUt89NNcbtBgdManREyNT3LxVMrw0c-nHo=s1920,"13.794976259515108, 100.31998689594188",D11
Bann Bhuddharaksa (Dorm 1-2), บ้านพุทธรักษา (หอ 1-2),Residence,"Bann Bhuddharaksa (Dorm 1-2), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand", บ้านพุทธรักษา (หอ 1-2) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(066) 104-5599,https://www.facebook.com/mahidoldorm,,"13.79375651700341, 100.31991636896637",D1-2
Bann Intanin (Dorm 3-4),บ้านอินทนิล (หอ 3-4),Residence,"Bann Intanin (Dorm 3-4), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand","บ้านอินทนิล (หอ 3-4) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170
",(066) 104-5599,https://www.facebook.com/mahidoldorm,,"13.793110123249091, 100.31989365264238",D3-4
Bann Chaiyapruek (Dorm 6-7),บ้านชัยพฤกษ์ (หอ 6-7),Residence,"Bann Chaiyapruek (Dorm 6-7), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",บ้านชัยพฤกษ์ (หอ 6-7) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(066) 104-5599,https://www.facebook.com/mahidoldorm,,"13.792589990076332, 100.32010766660278",D6-7
Bann Kanpai Mahidol (Dorm 8-9),บ้านกันภัยมหิดล (หอ 8-9),Residence,"Bann Kanpai Mahidol (Dorm 8-9), Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",บ้านกันภัยมหิดล (หอ 8-9) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(066) 104-5599,https://www.facebook.com/mahidoldorm,,"13.792559054170162, 100.31945863277406",D8-9
Student Dormitory-Bann Mahidol,สำนักงานหอพักนักศึกษา (บ้านมหิดล),Residence,"Student Dormitory-Bann Mahidol, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สำนักงานหอพักนักศึกษา (บ้านมหิดล) มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(066) 104-5599,https://www.facebook.com/mahidoldorm,,"13.793368239738383, 100.31958243904342",D0
Gymnasium,โรงพละอเนกประสงค์,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,,"13.794312618223087, 100.31910840444787",G
Soccer Field 1,สนามฟุตบอล 1,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,https://lh5.googleusercontent.com/p/AF1QipPckRZhcPEdUWSgt4P5suRax9mbfV1atHp3d10B=s1920,"13.793377619625284, 100.31815719978728",SF1
Soccer Field 2,สนามฟุตบอล 2,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,https://lh5.googleusercontent.com/p/AF1QipPckRZhcPEdUWSgt4P5suRax9mbfV1atHp3d10B=s1920,"13.79474079690128, 100.31815719978728",SF2
Volleyball & Sepak Takraw Courts,สนามเซปักตะกร้อ,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,,"13.792460034868004, 100.31868716801218",VST
Sports & Recreation Building,อาคารอเนกประสงค์,Building,"Sports & Recreation Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารอเนกประสงค์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,https://lh5.googleusercontent.com/p/AF1QipNdAGWH5x8hNsMwZo6QxzXDM1xapIIlD2sUvts5=s1920,"13.79613289657907, 100.31997990330308",SRB
Tennis Court,สนามเทนนิส,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,https://lh5.googleusercontent.com/p/AF1QipMIjIC9JtD6d2zDlXP7gHi-rxNHIoWN4FNg-YjB=s1920,"13.79537,100.31968",TCC
Basketball Court,สนามบาสเก็ตบอล,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,,"13.79563,100.32038",BC
MU Lake,MU Lake,Park,,,02 849 6000,,https://lh5.googleusercontent.com/p/AF1QipMdzQGY0PDR9qrlU1yDf8qCTzIg-QV2hxp4dyf2=s1920,"13.794037229386605, 100.31700937963248",MUL
Jakka Center,จักก้าเซ็นเตอร์,Building,,,02 441 4400,https://www.facebook.com/jakkamu/?locale=s1920,https://lh5.googleusercontent.com/p/AF1QipPoz2T1SVZoWwSfpkZiLKh_-syN-EZ6bOBBgL4e=s1920,"13.79391199049563, 100.32050600529799",JC
Tram Station,สถานีรถราง,Building,,,,,https://lh5.googleusercontent.com/p/AF1QipOIkZ-Q8qaSRj2-Azl28nn_89LEyf2RSyNfKvu9=s1920,"13.794744144635061, 100.318863417322",T
College of Religious Studies,วิทยาลัยศาสนศึกษา,Building,"College of Religious Studies, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",วิทยาลัยศาสนศึกษา มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 800 2630,https://crs.mahidol.ac.th/crs,https://lh3.googleusercontent.com/JEqEhX5Axhm9xXUU7bD0W1caNYSJQVB1mK29KpdTc4eVYrINSeY-Vwy90xwg4kc=s1920,"13.798541627899228, 100.31864046157962",CRS
Faculty of Veterinary Science,คณะสัตวแพทยศาสตร์,Building,"Faculty of Veterinary Science, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะสัตวแพทยศาสตร์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 5242 ,https://vs.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipOBuO0dzByDoERg7aZXNRHnkI1mu35n3hjF1F2g=s1920,"13.798071833822815, 100.31719166594009",VS
National Institute for Child and Family Development,สถาบันแห่งชาติเพื่อการพัฒนาเด็กและครอบครัว,Building,"National Institute for Child and Family Development, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันแห่งชาติเพื่อการพัฒนาเด็กและครอบครัว มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 0601,https://cf.mahidol.ac.th/,https://lh3.googleusercontent.com/p/AF1QipPmCHuykl21tDqppDPJ_bNQaS0gnkZO422zsd17=s1920,"13.798297143345936, 100.31983997545268",NICF
Parking 4,ลานจอดรถ 4,Parking,,,,,,"13.796290793566756, 100.31762432191496",P4
Prasu-Arthorn Animal Hospital,โรงพยาบาลสัตว์ประศุอาทร,Building,"Prasu-Arthorn Animal Hospital, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",โรงพยาบาลสัตว์ประศุอาทร มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 5245,https://vs.mahidol.ac.th/th/prasuarthon.html,https://lh3.googleusercontent.com/p/AF1QipM4rSjYM9p4lzQ4l3-0Eq2_Dgw4Una6PC_90PoB=s1920,"13.798155725691196, 100.31779882728323",VSH
Kafaekom Nomwhan,กาแฟขม นมหวาน,Cafe,,,(096) 386-0519,,https://lh3.googleusercontent.com/IBHGzStp2_CjO91zEPsy08HgnJ7Nqgp6JMTmkI9LzQJEudb5MZaTnx3Quldg3e3W=s1920,"13.798539701616477, 100.3179780069802",
Zum Chanom,ซุ้มชานม,Cafe,,,,,,"13.798691936802555, 100.3178572075727",
National Laboratory Animal Center,ศูนย์สัตว์ทดลองแห่งชาติ,Building,"National Laboratory Animal Center, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",ศูนย์สัตว์ทดลองแห่งชาติ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 9342 ,https://nlac.mahidol.ac.th/,https://lh4.googleusercontent.com/hldpGp_YxHyEw45rU8J6YEtfg67GHgat2yN6c_xVMWgUNby6eVuqBxyT3t_BOTJR=s1920,"13.799087975702598, 100.31736266803118",NLAC
Medical Morgue Building,อาคารกายวิทยาทาน,Building,"Medical Morgue Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารกายวิทยาทาน มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,https://lh5.googleusercontent.com/p/AF1QipOzbnfM39TTEHNvEYpoLTr8nWAMYDr1SnFeQMNQ=s1920,"13.800635728503199, 100.31787010907915",MMB
Mahidol Wittayanusorn School,โรงเรียนมหิดลวิทยานุสรณ์,Building,"Mahidol Wittayanusorn School 364 Moo 5 Salaya, Phutthamonthon District, Nakhon Pathom, Thailand
73170",โรงเรียนมหิดลวิทยานุสรณ์ 364 หมู่ 5 ต.ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 027 7850,https://www.mwit.ac.th/,https://lh5.googleusercontent.com/p/AF1QipNduReB3BlUgx2koBEQMd4TeQ7dJUbuKMacJ5c0=s1920,"13.800182789826241, 100.31856231758024",MWIT
Tennis Court,สนามเทนนิส,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,https://lh4.googleusercontent.com/XUzo6SzRO5OCmK94HB5EfvYYMOZm4OUwp34qggEtgsNxrXXAH1VJwZz3b3zPmb_4MQ=s1920,"13.79718,100.31908",TCD
Petanque Court,สนามเปตอง,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,https://lh5.googleusercontent.com/p/AF1QipPlr21Jy23viru74bOwPMTvCkQpv0lOesakOQBL=s1920,"13.79692,100.31910",PCD
Equestrian Court,สนามขี่ม้า,Sport,,,,https://www.facebook.com/MahidolRidingHorseClub,https://lh5.googleusercontent.com/p/AF1QipN7MYvA2RE5swSywQDnzxYEpEslkSLXifUZjDz3=s1920,"13.797709410046632, 100.31859327662737",ECD
Badminton Court,สนามแบดมินตัน ,Sport,,,02 441 4295,https://mahidol.ac.th/new-current-student/sport/,https://lh5.googleusercontent.com/p/AF1QipN3vOJkRTwO7kxOvmowk9jeWirfSxE63kdutpDs=s1920,"13.79755086713386, 100.31939434054233",BCD
Division of Physical Systems and Environment,กองกายภาพและสิ่งแวดล้อม,Building,"Division of Physical Systems and Environment, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",กองกายภาพและสิ่งแวดล้อม มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 4400,,https://lh3.googleusercontent.com/p/AF1QipM10mX4EvOXqC7cudyb4KDsoPYBulya0lQwSz1L=s1920,"13.798134088358857, 100.3219363092345",PE
Nan Coffee,กาแฟสดแนน,Cafe,"Division of Physical Systems and Environment, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",กองกายภาพและสิ่งแวดล้อม มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(085) 133-4544,,https://lh5.googleusercontent.com/p/AF1QipMjdWimf2Ug88Ls-NoaDEFXdIUU2kWKAHD2dOQ=s1920,"13.797895752295597, 100.32223156815722",
Faculty of Liberal Arts,คณะศิลปศาสตร์,Building,"Faculty of Liberal Arts, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะศิลปศาสตร์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 4401 ,http://www.la.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipMxjXRFU_LD2RiWDb3JEXwlBI7ElskAajrz0H__=s1920,"13.797611625913188, 100.32109614007207",LA
Gopi Siam and Fast Food,โกปี้สยามและอาหารจานด่วน,Food,,,(096) 478-3957,,https://lh5.googleusercontent.com/p/AF1QipPxkjbipx_eA9KMyA0088_nVhCEa6RXRjCf7TPM=s1920,"13.797953449385297, 100.32370821727936",
Faculty of Medical Technology,คณะเทคนิคการแพทย์,Building,"Faculty of Medical Technology, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะเทคนิคการแพทย์ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 4371,https://mt.mahidol.ac.th/,https://lh3.googleusercontent.com/AXZp9xuF_tJuqWd3LSy-BcRiAO9WZFqh1hZ8A69X1W6hTj5XEQ5hV093-PK3Ls8=s1920,"13.79855891085541, 100.32308788607185",MT
Faculty of Physical Therapy,คณะกายภาพบำบัด,Building,"Faculty of Physical Therapy, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะกายภาพบำบัด มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 5450 ,https://pt.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipPxtBEcVAoVTzQXlFrYPBEUQPV192Kctf6tpxaG=s1920,"13.797522632132894, 100.3220249041263",PT
White Duck Court,ลานเป็ดขาว,Park,,,,,https://lh5.googleusercontent.com/p/AF1QipPc-U1L8xYyZNLnyLpBneHmC2KCCt0zosoXaLLo=s1920,"13.797018741368339, 100.3235180820217",
Prachakorn Court,ลานประชากร,Park,,,,,,"13.796935560686396, 100.32395530056488",
22 twenty two coffee,ทเวนตี้ทู คอฟฟี่,Cafe,"Faculty of Physical Therapy, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",คณะกายภาพบำบัด มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(092) 299-3687,,https://lh5.googleusercontent.com/p/AF1QipOJlJk_rm3fbQkAB6TOVW2Jd1MLsqcf8nZhyNRh=s1920,"13.797378527895294, 100.32178974311005",
Parking 1,ลานจอดรถ 1,Parking,,,,,,"13.797315781591061, 100.32044229022345",P1
Parking 3,ลานจอดรถ 3,Parking,,,,,,"13.798140777428063, 100.32265151024548",P3
Condominium Anchan (A Building),อาคารอัญชัน (อาคาร A),Residence,,,,,https://lh5.googleusercontent.com/p/AF1QipNvD38cVyDsF6O8TtYg8Flh3ni57wCZjtSgKSvJ=s1920,"13.800083345278694, 100.32089107884022",
Condominium Benjamas (B Building),อาคารเบญจมาศ (อาคาร B),Residence,,,,,https://lh6.googleusercontent.com/xPIUKjzgxA8LkQL9NinQyUjSgHgyVs20oIBXuvYF0L-NnuoyAE_x5ArYzW65JMcEkg=s1920,"13.799786935040634, 100.32154276595007",
Condominium Chaba (C Building),อาคารชบา (อาคาร C),Residence,,,,,https://lh6.googleusercontent.com/hHUrZFaB0HXyBglAvz0cFPpj2Zx0Vy436YcMBKcyDj_hYJ9Lwdia1gYqrEmUkkaNVA=s1920,"13.800043289861364, 100.32155513979745",
Condominium Dusita (D Building),อาคารดุสิตา (อาคาร D),Residence,,,,,https://lh5.googleusercontent.com/p/AF1QipM4BgW7L_XrIc1A4-1NIeH8S5QQUEJodunPj1Tg=s1920,"13.799790940578532, 100.32258216575704",
"True Space, Mahidol University",ทรูสเปซ มหาวิทยาลัยมหิดล,Cafe,"Sirivadhanabhakdi Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารสิริวัฒนภักดี มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,(090) 971-5283,http://truespaceth.com/,https://lh5.googleusercontent.com/p/AF1QipPoIHBS8148E6LviFoPTEXnWPAClcBW2rUY_5qv=s1920,"13.801001261585645, 100.32071975494686",
Mahidol University Alumni Association Under the Royal Patronage of His Majesty the King,สมาคมศิษย์เก่ามหาวิทยาลัยมหิดล ในพระบรมราชูปถัมภ์,Building,"Sirivadhanabhakdi Building, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",อาคารสิริวัฒนภักดี มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 108 5330,https://alumni.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipNYarpl9X4TCwPZZjA8un4llxzCQkJT06J5ypj4=s1920,"13.801088553005291, 100.3204579119382",
MU Salaya Park,MU Salaya Park,Park,,,,,,"13.79879,100.32053",MUSP
Ramathibodi Nursing Student Dormitory,หอพักนักศึกษาพยาบาลรามาธิบดี,Residence,"Ramathibodi Nursing Student Dormitory, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",หอพักนักศึกษาพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,,,https://lh5.googleusercontent.com/p/AF1QipOHL3gTCIJa9oH66mMWTQ6vfW3ByjYW0rTQfHmo=s1920,"13.798728067441196, 100.321157527219",RNSD
Mahidol University International Demonstration School (MUIDS),โรงเรียนสาธิตนานาชาติ มหาวิทยาลัยมหิดล,Building,"International Demonstration School, Mahidol University, 999 Phutthamonthon Sai 4 Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",โรงเรียนสาธิตนานาชาติ มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 408 8555 ,http://muids.mahidol.ac.th,https://lh5.googleusercontent.com/p/AF1QipOeYfhDiYSj_Hc0w0zzjB-1PR2ESUKsi_FkZo9Z=s1920,"13.799903218488424, 100.32366418535538",MUIDS
